"wl","peak_wl","a","b"
385,390,4140509826185.44,4286320348679.38
395,400,4820044594872.53,4799437015355.03
415,418,6910046138211.87,6243398712787.36
430,435,5297661624139.21,5344402260812.7
450,450,4396320342419.77,6739512003704.11
470,478,6691859175939,4819047296394.1
505,501,6490592878647.74,6165243988649.37
525,527,3789342481917.77,3962873844353.41
545,552,3198426661476.42,3709066905615.23
570,574,1416112464204.62,1537357444817.33
590,592,3536433381130.73,3667814276522.3
625,621,3132172983635.14,3540396486174.34
645,644,10280752052849.1,11468709485700.1
660,662,6383022966021.11,5497250133676.26
680,683,5534040706867.21,6230556289106.26
700,708,11380499623741.5,11093804861957.7
740,743,8254729606794.38,7889678633098.17
